191,452,269,453,269,468,191,466
311,426,354,424,355,440,312,442
215,426,262,426,262,439,215,439
233,399,264,399,264,412,233,412
302,396,355,393,356,409,303,412
228,383,264,386,263,401,226,399
305,369,355,366,357,396,307,399
187,337,264,341,263,357,187,353
313,339,356,336,357,353,314,356
197,322,264,325,264,340,196,337
309,322,354,318,356,337,311,341
128,291,186,291,186,306,128,306
309,290,359,288,360,305,310,308
313,275,359,275,359,291,313,291
127,274,204,276,203,291,126,289
94,277,109,277,109,288,94,288
315,261,361,261,361,274,315,274
128,260,221,262,221,274,127,272
101,257,111,268,103,276,93,266
130,247,160,247,160,257,130,257
96,246,110,246,110,257,96,257
318,241,364,241,364,260,318,260
129,229,243,229,243,244,129,244
103,227,111,234,104,244,95,237
315,226,362,226,362,242,315,242
101,198,142,198,142,210,101,210
170,167,291,165,291,180,171,182
188,153,267,152,267,165,188,166
171,136,291,133,291,149,172,152
190,123,264,123,264,135,190,135
243,107,271,107,271,120,243,120
